project_id,fraud_probability,predicted_typology,feature_importance_contributions,scored_at
MPLADS-001492,0.0314,NORMAL,"{""geo__population_density"": 0.148, ""contractor_anomaly_percentile"": 0.1004, ""contractor_anomaly_score"": 0.0814}",2026-09-06T09:45:06.494738+00:00
MPLADS-001493,1.0,GHOST_WORK,"{""progress_anomaly_score"": 5.154, ""progress_anomaly_percentile"": 0.9192, ""geo__population_density"": 0.1091}",2026-09-06T09:45:06.494738+00:00
MPLADS-001494,0.0161,NORMAL,"{""geospatial_anomaly_score"": 0.0898, ""project__planned_duration_days"": 0.0715, ""geospatial_anomaly_percentile"": 0.0321}",2026-09-06T09:45:06.494738+00:00
MPLADS-001495,0.0182,NORMAL,"{""geo__infrastructure_gap_index"": 0.0448, ""project__planned_duration_days"": 0.03, ""graph_anomaly_score"": 0.0203}",2026-09-06T09:45:06.494738+00:00
MPLADS-001496,0.0231,NORMAL,"{""financial__sanctioned_amount"": 0.3953, ""procurement_anomaly_percentile"": 0.1831, ""geo__infrastructure_gap_index"": 0.1796}",2026-09-06T09:45:06.494738+00:00
MPLADS-001497,0.0231,NORMAL,"{""geospatial_anomaly_score"": 0.1983, ""project__planned_duration_days"": 0.0684, ""geospatial_anomaly_percentile"": 0.0346}",2026-09-06T09:45:06.494738+00:00
MPLADS-001498,0.0225,NORMAL,"{""financial__sanctioned_amount"": 0.1931, ""geospatial_anomaly_percentile"": 0.0465, ""payment_anomaly_percentile"": 0.0355}",2026-09-06T09:45:06.494738+00:00
MPLADS-001499,0.0182,NORMAL,"{""procurement_anomaly_score"": 0.4658, ""financial_anomaly_score"": 0.1661, ""financial_anomaly_percentile"": 0.0846}",2026-09-06T09:45:06.494738+00:00
MPLADS-001500,1.0,PAYMENT_PROGRESS_MISMATCH,"{""progress_anomaly_score"": 5.2475, ""progress_anomaly_percentile"": 0.9177, ""payment_anomaly_score"": 0.1336}",2026-09-06T09:45:06.494738+00:00
MPLADS-001501,1.0,COST_OVERRUN,"{""progress_anomaly_score"": 4.4302, ""progress_anomaly_percentile"": 0.8448, ""procurement_anomaly_score"": 0.4322}",2026-09-06T09:45:06.494738+00:00
MPLADS-001502,0.0231,NORMAL,"{""procurement_anomaly_percentile"": 0.0781, ""std_anomaly_score"": 0.0481, ""geospatial_anomaly_score"": 0.0414}",2026-09-06T09:45:06.494738+00:00
MPLADS-001503,0.0182,NORMAL,"{""geospatial_anomaly_percentile"": 0.1594, ""geospatial_anomaly_score"": 0.0485, ""financial__sanctioned_amount"": 0.0211}",2026-09-06T09:45:06.494738+00:00
MPLADS-001504,0.0182,NORMAL,"{""geo__infrastructure_gap_index"": 0.2108, ""project__planned_duration_days"": 0.0588, ""mean_anomaly_score"": 0.0401}",2026-09-06T09:45:06.494738+00:00
MPLADS-001505,0.0231,NORMAL,"{""geospatial_anomaly_score"": 0.1128, ""project__planned_duration_days"": 0.0489, ""financial__sanctioned_amount"": 0.0263}",2026-09-06T09:45:06.494738+00:00
MPLADS-001506,1.0,COST_OVERRUN,"{""progress_anomaly_score"": 4.7382, ""progress_anomaly_percentile"": 0.8366, ""financial_anomaly_score"": 0.2159}",2026-09-06T09:45:06.494738+00:00
MPLADS-001507,1.0,ABANDONED_WORK,"{""progress_anomaly_score"": 4.6757, ""progress_anomaly_percentile"": 0.8359, ""payment_anomaly_score"": 0.1761}",2026-09-06T09:45:06.494738+00:00
MPLADS-001508,0.0231,NORMAL,"{""geo__infrastructure_gap_index"": 0.0637, ""procurement_anomaly_percentile"": 0.0548, ""project__planned_duration_days"": 0.0493}",2026-09-06T09:45:06.494738+00:00
MPLADS-001509,1.0,ABANDONED_WORK,"{""progress_anomaly_score"": 4.9933, ""progress_anomaly_percentile"": 0.8562, ""payment_anomaly_score"": 0.1915}",2026-09-06T09:45:06.494738+00:00
MPLADS-001510,1.0,COST_OVERRUN,"{""progress_anomaly_score"": 4.45, ""progress_anomaly_percentile"": 0.8394, ""procurement_anomaly_score"": 0.2422}",2026-09-06T09:45:06.494738+00:00
MPLADS-001511,0.011,NORMAL,"{""financial_anomaly_score"": 0.1648, ""geo__infrastructure_gap_index"": 0.0704, ""financial_anomaly_percentile"": 0.034}",2026-09-06T09:45:06.494738+00:00
MPLADS-001512,0.5463,PROCUREMENT_SINGLE_BID,"{""procurement_anomaly_score"": 1.5972, ""procurement_anomaly_percentile"": 0.7749, ""max_anomaly_score"": 0.1051}",2026-09-06T09:45:06.494738+00:00
MPLADS-001513,0.0314,NORMAL,"{""financial__sanctioned_amount"": 0.2414, ""graph_anomaly_score"": 0.0536, ""payment_anomaly_score"": 0.0464}",2026-09-06T09:45:06.494738+00:00
MPLADS-001514,1.0,DELAYED_WORK,"{""progress_anomaly_score"": 5.2651, ""progress_anomaly_percentile"": 0.9633, ""procurement_anomaly_percentile"": 0.0866}",2026-09-06T09:45:06.494738+00:00
MPLADS-001515,0.0262,NORMAL,"{""geo__infrastructure_gap_index"": 0.1443, ""geospatial_anomaly_score"": 0.1232, ""geo__population_density"": 0.0824}",2026-09-06T09:45:06.494738+00:00
MPLADS-001516,0.0182,NORMAL,"{""geospatial_anomaly_score"": 0.139, ""financial__sanctioned_amount"": 0.0453, ""geospatial_anomaly_percentile"": 0.0445}",2026-09-06T09:45:06.494738+00:00
MPLADS-001517,0.011,NORMAL,"{""geo__population_density"": 0.1179, ""geo__infrastructure_gap_index"": 0.0992, ""project__planned_duration_days"": 0.0525}",2026-09-06T09:45:06.494738+00:00
MPLADS-001518,0.0265,NORMAL,"{""geospatial_anomaly_score"": 0.0884, ""mean_anomaly_score"": 0.0509, ""geo__infrastructure_gap_index"": 0.0506}",2026-09-06T09:45:06.494738+00:00
MPLADS-001519,0.0182,NORMAL,"{""geo__population_density"": 0.2204, ""financial_anomaly_score"": 0.047, ""financial_anomaly_percentile"": 0.0357}",2026-09-06T09:45:06.494738+00:00
MPLADS-001520,0.0182,NORMAL,"{""project__planned_duration_days"": 0.0544, ""financial__sanctioned_amount"": 0.0367, ""geospatial_anomaly_score"": 0.0366}",2026-09-06T09:45:06.494738+00:00
MPLADS-001521,0.011,NORMAL,"{""payment_anomaly_score"": 0.0708, ""financial_anomaly_score"": 0.059, ""payment_anomaly_percentile"": 0.048}",2026-09-06T09:45:06.494738+00:00
MPLADS-001522,0.0231,NORMAL,"{""geo__population_density"": 0.1496, ""graph_anomaly_score"": 0.0862, ""geo__infrastructure_gap_index"": 0.0551}",2026-09-06T09:45:06.494738+00:00
MPLADS-001523,0.0225,NORMAL,"{""financial__sanctioned_amount"": 0.1738, ""geospatial_anomaly_score"": 0.0896, ""financial_anomaly_percentile"": 0.0779}",2026-09-06T09:45:06.494738+00:00
MPLADS-001524,0.0314,NORMAL,"{""geospatial_anomaly_score"": 0.1737, ""mean_anomaly_score"": 0.1267, ""financial_anomaly_score"": 0.0651}",2026-09-06T09:45:06.494738+00:00
MPLADS-001525,0.0231,NORMAL,"{""geo__population_density"": 0.1916, ""std_anomaly_score"": 0.0948, ""project__planned_duration_days"": 0.0444}",2026-09-06T09:45:06.494738+00:00
MPLADS-001526,0.2216,NORMAL,"{""procurement_anomaly_score"": 0.7421, ""procurement_anomaly_percentile"": 0.5009, ""geo__infrastructure_gap_index"": 0.2614}",2026-09-06T09:45:06.494738+00:00
MPLADS-001527,0.2583,NORMAL,"{""procurement_anomaly_score"": 1.4264, ""procurement_anomaly_percentile"": 0.5448, ""geo__population_density"": 0.1109}",2026-09-06T09:45:06.494738+00:00
MPLADS-001528,0.0265,NORMAL,"{""payment_anomaly_score"": 0.0882, ""payment_anomaly_percentile"": 0.0571, ""geo__infrastructure_gap_index"": 0.0329}",2026-09-06T09:45:06.494738+00:00
MPLADS-001529,0.0231,NORMAL,"{""payment_anomaly_score"": 0.1468, ""project__planned_duration_days"": 0.0657, ""geo__infrastructure_gap_index"": 0.0643}",2026-09-06T09:45:06.494738+00:00
MPLADS-001530,0.0225,NORMAL,"{""financial__sanctioned_amount"": 0.2681, ""geo__population_density"": 0.1874, ""geo__infrastructure_gap_index"": 0.0647}",2026-09-06T09:45:06.494738+00:00
MPLADS-001531,0.0225,NORMAL,"{""geospatial_anomaly_score"": 0.1407, ""project__planned_duration_days"": 0.044, ""geospatial_anomaly_percentile"": 0.0397}",2026-09-06T09:45:06.494738+00:00
MPLADS-001532,0.0182,NORMAL,"{""geo__infrastructure_gap_index"": 0.0874, ""project__planned_duration_days"": 0.0304, ""procurement_anomaly_percentile"": 0.0291}",2026-09-06T09:45:06.494738+00:00
MPLADS-001533,0.0225,NORMAL,"{""project__planned_duration_days"": 0.0445, ""procurement_anomaly_percentile"": 0.043, ""payment_anomaly_percentile"": 0.0201}",2026-09-06T09:45:06.494738+00:00
MPLADS-001534,0.0231,NORMAL,"{""financial__sanctioned_amount"": 0.2251, ""payment_anomaly_score"": 0.1015, ""geospatial_anomaly_score"": 0.0659}",2026-09-06T09:45:06.494738+00:00
MPLADS-001535,1.0,PAYMENT_PROGRESS_MISMATCH,"{""progress_anomaly_score"": 5.4876, ""progress_anomaly_percentile"": 0.9538, ""payment_anomaly_score"": 0.1291}",2026-09-06T09:45:06.494738+00:00
MPLADS-001536,0.0231,NORMAL,"{""geospatial_anomaly_score"": 0.1908, ""geo__population_density"": 0.1421, ""geospatial_anomaly_percentile"": 0.0837}",2026-09-06T09:45:06.494738+00:00
MPLADS-001537,0.0182,NORMAL,"{""project__planned_duration_days"": 0.0529, ""financial__sanctioned_amount"": 0.0052, ""financial_anomaly_percentile"": 0.0048}",2026-09-06T09:45:06.494738+00:00
MPLADS-001538,0.0225,NORMAL,"{""financial__sanctioned_amount"": 0.1531, ""financial_anomaly_percentile"": 0.0482, ""payment_anomaly_percentile"": 0.0417}",2026-09-06T09:45:06.494738+00:00
MPLADS-001539,0.0182,NORMAL,"{""geo__population_density"": 0.2311, ""max_anomaly_score"": 0.123, ""payment_anomaly_score"": 0.0482}",2026-09-06T09:45:06.494738+00:00
MPLADS-001540,0.4797,NORMAL,"{""procurement_anomaly_score"": 0.7479, ""procurement_anomaly_percentile"": 0.6829, ""geo__population_density"": 0.3021}",2026-09-06T09:45:06.494738+00:00
MPLADS-001541,0.0182,NORMAL,"{""geo__population_density"": 0.2888, ""project__planned_duration_days"": 0.0501, ""graph_anomaly_percentile"": 0.0387}",2026-09-06T09:45:06.494738+00:00
MPLADS-001542,0.0182,NORMAL,"{""project__planned_duration_days"": 0.0505, ""graph_anomaly_score"": 0.0468, ""std_anomaly_score"": 0.0131}",2026-09-06T09:45:06.494738+00:00
MPLADS-001543,0.0225,NORMAL,"{""contractor_anomaly_percentile"": 0.0734, ""project__planned_duration_days"": 0.066, ""geospatial_anomaly_score"": 0.027}",2026-09-06T09:45:06.494738+00:00
MPLADS-001544,0.0139,NORMAL,"{""geo__infrastructure_gap_index"": 0.1326, ""geo__population_density"": 0.1005, ""contractor_anomaly_score"": 0.036}",2026-09-06T09:45:06.494738+00:00
MPLADS-001545,0.0225,NORMAL,"{""geospatial_anomaly_score"": 0.0767, ""project__planned_duration_days"": 0.0657, ""geo__population_density"": 0.0391}",2026-09-06T09:45:06.494738+00:00
MPLADS-001546,0.0265,NORMAL,"{""financial__sanctioned_amount"": 0.0338, ""project__planned_duration_days"": 0.0285, ""contractor_anomaly_score"": 0.0159}",2026-09-06T09:45:06.494738+00:00
MPLADS-001547,0.0231,NORMAL,"{""geo__population_density"": 0.1056, ""geospatial_anomaly_score"": 0.058, ""geo__infrastructure_gap_index"": 0.0459}",2026-09-06T09:45:06.494738+00:00
MPLADS-001548,0.011,NORMAL,"{""graph_anomaly_percentile"": 0.0054, ""std_anomaly_score"": 0.0016, ""num_flagged_models"": 0.0014}",2026-09-06T09:45:06.494738+00:00
MPLADS-001549,0.0262,NORMAL,"{""geospatial_anomaly_score"": 0.2213, ""project__planned_duration_days"": 0.069, ""mean_anomaly_score"": 0.0524}",2026-09-06T09:45:06.494738+00:00
MPLADS-001550,0.0231,NORMAL,"{""geo__population_density"": 0.1093, ""geospatial_anomaly_score"": 0.0828, ""project__planned_duration_days"": 0.0693}",2026-09-06T09:45:06.494738+00:00
MPLADS-001551,1.0,DELAYED_WORK,"{""progress_anomaly_score"": 5.0884, ""progress_anomaly_percentile"": 0.8429, ""financial_anomaly_score"": 0.2127}",2026-09-06T09:45:06.494738+00:00
MPLADS-001552,0.0231,NORMAL,"{""financial__sanctioned_amount"": 0.274, ""payment_anomaly_score"": 0.1585, ""financial_anomaly_percentile"": 0.0457}",2026-09-06T09:45:06.494738+00:00
MPLADS-001553,0.0225,NORMAL,"{""geo__infrastructure_gap_index"": 0.119, ""payment_anomaly_score"": 0.0649, ""geospatial_anomaly_score"": 0.0561}",2026-09-06T09:45:06.494738+00:00
MPLADS-001554,0.011,NORMAL,"{""procurement_anomaly_score"": 0.2735, ""procurement_anomaly_percentile"": 0.2241, ""max_anomaly_score"": 0.0745}",2026-09-06T09:45:06.494738+00:00
MPLADS-001555,1.0,COST_OVERRUN,"{""progress_anomaly_score"": 4.417, ""progress_anomaly_percentile"": 0.7507, ""procurement_anomaly_score"": 0.1874}",2026-09-06T09:45:06.494738+00:00
MPLADS-001556,0.0231,NORMAL,"{""financial__sanctioned_amount"": 0.2416, ""geo__infrastructure_gap_index"": 0.1178, ""geospatial_anomaly_score"": 0.0924}",2026-09-06T09:45:06.494738+00:00
MPLADS-001557,0.0225,NORMAL,"{""financial__sanctioned_amount"": 0.0369, ""project__planned_duration_days"": 0.0321, ""geospatial_anomaly_score"": 0.0267}",2026-09-06T09:45:06.494738+00:00
MPLADS-001558,0.0182,NORMAL,"{""project__planned_duration_days"": 0.059, ""geospatial_anomaly_score"": 0.0027, ""num_flagged_models"": 0.0014}",2026-09-06T09:45:06.494738+00:00
MPLADS-001559,0.0182,NORMAL,"{""financial_anomaly_percentile"": 0.1002, ""geospatial_anomaly_score"": 0.0896, ""geo__infrastructure_gap_index"": 0.0852}",2026-09-06T09:45:06.494738+00:00
MPLADS-001560,0.0182,NORMAL,"{""financial__sanctioned_amount"": 0.0898, ""payment_anomaly_percentile"": 0.0437, ""graph_anomaly_score"": 0.02}",2026-09-06T09:45:06.494738+00:00
MPLADS-001561,0.0225,NORMAL,"{""geo__infrastructure_gap_index"": 0.0879, ""project__planned_duration_days"": 0.0581, ""financial_anomaly_percentile"": 0.0483}",2026-09-06T09:45:06.494738+00:00
MPLADS-001562,0.0308,NORMAL,"{""financial__sanctioned_amount"": 0.1883, ""geospatial_anomaly_score"": 0.1121, ""geospatial_anomaly_percentile"": 0.0317}",2026-09-06T09:45:06.494738+00:00
MPLADS-001563,0.0182,NORMAL,"{""financial__sanctioned_amount"": 0.2929, ""payment_anomaly_score"": 0.1566, ""financial_anomaly_score"": 0.0849}",2026-09-06T09:45:06.494738+00:00
MPLADS-001564,0.0231,NORMAL,"{""procurement_anomaly_percentile"": 0.0929, ""geo__infrastructure_gap_index"": 0.0674, ""geospatial_anomaly_score"": 0.0341}",2026-09-06T09:45:06.494738+00:00
MPLADS-001565,0.0182,NORMAL,"{""payment_anomaly_percentile"": 0.0985, ""project__planned_duration_days"": 0.0574, ""payment_anomaly_score"": 0.0519}",2026-09-06T09:45:06.494738+00:00
MPLADS-001566,0.0345,NORMAL,"{""financial__sanctioned_amount"": 0.2639, ""geo__population_density"": 0.2277, ""geo__infrastructure_gap_index"": 0.0669}",2026-09-06T09:45:06.494738+00:00
MPLADS-001567,0.0265,NORMAL,"{""geo__infrastructure_gap_index"": 0.2144, ""geo__population_density"": 0.1811, ""std_anomaly_score"": 0.081}",2026-09-06T09:45:06.494738+00:00
MPLADS-001568,1.0,PAYMENT_PROGRESS_MISMATCH,"{""progress_anomaly_score"": 5.2551, ""progress_anomaly_percentile"": 0.9258, ""payment_anomaly_score"": 0.3423}",2026-09-06T09:45:06.494738+00:00
MPLADS-001569,0.1234,NORMAL,"{""procurement_anomaly_score"": 1.2751, ""procurement_anomaly_percentile"": 0.4161, ""geo__population_density"": 0.0661}",2026-09-06T09:45:06.494738+00:00
MPLADS-001570,0.0231,NORMAL,"{""project__planned_duration_days"": 0.0616, ""geospatial_anomaly_score"": 0.0523, ""geospatial_anomaly_percentile"": 0.0313}",2026-09-06T09:45:06.494738+00:00
MPLADS-001571,0.0231,NORMAL,"{""geospatial_anomaly_score"": 0.1178, ""project__planned_duration_days"": 0.0565, ""geospatial_anomaly_percentile"": 0.0234}",2026-09-06T09:45:06.494738+00:00
MPLADS-001572,1.0,DOCUMENTATION_DEFICIT,"{""progress_anomaly_score"": 4.875, ""progress_anomaly_percentile"": 0.8578, ""financial_anomaly_score"": 0.1841}",2026-09-06T09:45:06.494738+00:00
MPLADS-001573,0.0225,NORMAL,"{""geospatial_anomaly_score"": 0.1235, ""geospatial_anomaly_percentile"": 0.0415, ""financial__sanctioned_amount"": 0.0301}",2026-09-06T09:45:06.494738+00:00
MPLADS-001574,0.0182,NORMAL,"{""geo__infrastructure_gap_index"": 0.109, ""project__planned_duration_days"": 0.0616, ""geospatial_anomaly_score"": 0.0493}",2026-09-06T09:45:06.494738+00:00
MPLADS-001575,0.0231,NORMAL,"{""financial__sanctioned_amount"": 0.1208, ""geospatial_anomaly_score"": 0.1121, ""project__planned_duration_days"": 0.0549}",2026-09-06T09:45:06.494738+00:00
MPLADS-001576,0.0345,NORMAL,"{""geospatial_anomaly_score"": 0.1177, ""mean_anomaly_score"": 0.0704, ""project__planned_duration_days"": 0.0533}",2026-09-06T09:45:06.494738+00:00
MPLADS-001577,0.0225,NORMAL,"{""geospatial_anomaly_score"": 0.1196, ""project__planned_duration_days"": 0.0609, ""geospatial_anomaly_percentile"": 0.0418}",2026-09-06T09:45:06.494738+00:00
MPLADS-001578,1.0,PAYMENT_PROGRESS_MISMATCH,"{""progress_anomaly_score"": 5.1518, ""progress_anomaly_percentile"": 0.8464, ""payment_anomaly_score"": 0.0865}",2026-09-06T09:45:06.494738+00:00
MPLADS-001579,1.0,DELAYED_WORK,"{""progress_anomaly_score"": 5.0897, ""progress_anomaly_percentile"": 0.8859, ""financial_anomaly_score"": 0.1415}",2026-09-06T09:45:06.494738+00:00
MPLADS-001580,0.0314,NORMAL,"{""financial_anomaly_score"": 0.304, ""geospatial_anomaly_score"": 0.2316, ""geo__infrastructure_gap_index"": 0.0761}",2026-09-06T09:45:06.494738+00:00
MPLADS-001581,0.0265,NORMAL,"{""procurement_anomaly_score"": 0.6478, ""procurement_anomaly_percentile"": 0.1884, ""financial_anomaly_score"": 0.1223}",2026-09-06T09:45:06.494738+00:00
MPLADS-001582,1.0,PAYMENT_PROGRESS_MISMATCH,"{""progress_anomaly_score"": 5.2499, ""progress_anomaly_percentile"": 0.8768, ""payment_anomaly_score"": 0.2518}",2026-09-06T09:45:06.494738+00:00
MPLADS-001583,1.0,PAYMENT_PROGRESS_MISMATCH,"{""progress_anomaly_score"": 5.126, ""progress_anomaly_percentile"": 0.918, ""geo__infrastructure_gap_index"": 0.1445}",2026-09-06T09:45:06.494738+00:00
MPLADS-001584,0.0225,NORMAL,"{""geo__population_density"": 0.1619, ""geospatial_anomaly_score"": 0.0718, ""project__planned_duration_days"": 0.0592}",2026-09-06T09:45:06.494738+00:00
MPLADS-001585,0.0182,NORMAL,"{""financial__sanctioned_amount"": 0.1313, ""geo__population_density"": 0.1121, ""graph_anomaly_score"": 0.0804}",2026-09-06T09:45:06.494738+00:00
MPLADS-001586,0.5828,PROCUREMENT_SINGLE_BID,"{""procurement_anomaly_score"": 1.7595, ""procurement_anomaly_percentile"": 0.8207, ""max_anomaly_score"": 0.1725}",2026-09-06T09:45:06.494738+00:00
MPLADS-001587,0.0225,NORMAL,"{""financial_anomaly_score"": 0.2321, ""procurement_anomaly_percentile"": 0.171, ""financial_anomaly_percentile"": 0.0953}",2026-09-06T09:45:06.494738+00:00
MPLADS-001588,0.0231,NORMAL,"{""geo__population_density"": 0.2161, ""geospatial_anomaly_score"": 0.1301, ""project__planned_duration_days"": 0.0661}",2026-09-06T09:45:06.494738+00:00
MPLADS-001589,0.0182,NORMAL,"{""geo__population_density"": 0.128, ""geospatial_anomaly_score"": 0.0967, ""graph_anomaly_score"": 0.039}",2026-09-06T09:45:06.494738+00:00
MPLADS-001590,0.0225,NORMAL,"{""geospatial_anomaly_score"": 0.0563, ""project__planned_duration_days"": 0.0551, ""financial__sanctioned_amount"": 0.0283}",2026-09-06T09:45:06.494738+00:00
MPLADS-001591,0.0314,NORMAL,"{""financial__sanctioned_amount"": 0.1659, ""geospatial_anomaly_score"": 0.1206, ""financial_anomaly_percentile"": 0.114}",2026-09-06T09:45:06.494738+00:00
MPLADS-001592,0.0231,NORMAL,"{""procurement_anomaly_percentile"": 0.1225, ""financial__sanctioned_amount"": 0.0828, ""financial_anomaly_percentile"": 0.0671}",2026-09-06T09:45:06.494738+00:00
MPLADS-001593,0.1752,NORMAL,"{""geo__population_density"": 0.1732, ""graph_anomaly_score"": 0.1723, ""payment_anomaly_score"": 0.1484}",2026-09-06T09:45:06.494738+00:00
MPLADS-001594,0.0231,NORMAL,"{""geo__infrastructure_gap_index"": 0.309, ""geospatial_anomaly_score"": 0.0546, ""project__planned_duration_days"": 0.0526}",2026-09-06T09:45:06.494738+00:00
MPLADS-001595,0.4681,NORMAL,"{""procurement_anomaly_score"": 1.8124, ""procurement_anomaly_percentile"": 0.7933, ""max_anomaly_score"": 0.1446}",2026-09-06T09:45:06.494738+00:00
MPLADS-001596,1.0,DELAYED_WORK,"{""progress_anomaly_score"": 4.9211, ""progress_anomaly_percentile"": 0.875, ""geo__population_density"": 0.1773}",2026-09-06T09:45:06.494738+00:00
MPLADS-001597,0.0225,NORMAL,"{""geo__infrastructure_gap_index"": 0.0529, ""std_anomaly_score"": 0.0282, ""financial__sanctioned_amount"": 0.0113}",2026-09-06T09:45:06.494738+00:00
MPLADS-001598,0.0225,NORMAL,"{""geo__infrastructure_gap_index"": 0.13, ""geospatial_anomaly_score"": 0.0809, ""geospatial_anomaly_percentile"": 0.0236}",2026-09-06T09:45:06.494738+00:00
MPLADS-001599,1.0,PAYMENT_PROGRESS_MISMATCH,"{""progress_anomaly_score"": 5.5283, ""progress_anomaly_percentile"": 0.9355, ""payment_anomaly_score"": 0.1267}",2026-09-06T09:45:06.494738+00:00
MPLADS-001600,0.0231,NORMAL,"{""financial__sanctioned_amount"": 0.1388, ""graph_anomaly_percentile"": 0.0811, ""project__planned_duration_days"": 0.066}",2026-09-06T09:45:06.494738+00:00
MPLADS-001601,0.0231,NORMAL,"{""financial__sanctioned_amount"": 0.1121, ""geospatial_anomaly_score"": 0.0972, ""geo__infrastructure_gap_index"": 0.0936}",2026-09-06T09:45:06.494738+00:00
MPLADS-001602,1.0,ABANDONED_WORK,"{""progress_anomaly_score"": 5.0989, ""progress_anomaly_percentile"": 0.9227, ""payment_anomaly_score"": 0.2087}",2026-09-06T09:45:06.494738+00:00
MPLADS-001603,0.0314,NORMAL,"{""procurement_anomaly_percentile"": 0.1605, ""financial_anomaly_percentile"": 0.1096, ""geospatial_anomaly_score"": 0.0863}",2026-09-06T09:45:06.494738+00:00
MPLADS-001604,1.0,DELAYED_WORK,"{""progress_anomaly_score"": 4.9943, ""progress_anomaly_percentile"": 0.8533, ""financial_anomaly_score"": 0.1936}",2026-09-06T09:45:06.494738+00:00
MPLADS-001605,0.0308,NORMAL,"{""financial_anomaly_score"": 0.2334, ""geo__infrastructure_gap_index"": 0.1687, ""financial__sanctioned_amount"": 0.1093}",2026-09-06T09:45:06.494738+00:00
MPLADS-001606,0.0231,NORMAL,"{""geospatial_anomaly_score"": 0.1237, ""geo__infrastructure_gap_index"": 0.0593, ""geospatial_anomaly_percentile"": 0.0503}",2026-09-06T09:45:06.494738+00:00
MPLADS-001607,0.2256,NORMAL,"{""procurement_anomaly_score"": 1.4676, ""procurement_anomaly_percentile"": 0.4754, ""std_anomaly_score"": 0.0552}",2026-09-06T09:45:06.494738+00:00
MPLADS-001608,0.0231,NORMAL,"{""payment_anomaly_score"": 0.1795, ""geospatial_anomaly_score"": 0.1053, ""procurement_anomaly_percentile"": 0.0555}",2026-09-06T09:45:06.494738+00:00
MPLADS-001609,0.0182,NORMAL,"{""geo__infrastructure_gap_index"": 0.0687, ""project__planned_duration_days"": 0.0459, ""financial__sanctioned_amount"": 0.0199}",2026-09-06T09:45:06.494738+00:00
MPLADS-001610,1.0,PAYMENT_PROGRESS_MISMATCH,"{""progress_anomaly_score"": 5.6122, ""progress_anomaly_percentile"": 0.9836, ""payment_anomaly_score"": 0.0941}",2026-09-06T09:45:06.494738+00:00
MPLADS-001611,0.0168,NORMAL,"{""payment_anomaly_percentile"": 0.0961, ""graph_anomaly_score"": 0.0506, ""geo__infrastructure_gap_index"": 0.0388}",2026-09-06T09:45:06.494738+00:00
MPLADS-001612,0.0161,NORMAL,"{""project__planned_duration_days"": 0.0664, ""geospatial_anomaly_percentile"": 0.0294, ""financial__sanctioned_amount"": 0.0041}",2026-09-06T09:45:06.494738+00:00
MPLADS-001613,0.0182,NORMAL,"{""geo__population_density"": 0.1058, ""graph_anomaly_score"": 0.0644, ""geo__infrastructure_gap_index"": 0.0526}",2026-09-06T09:45:06.494738+00:00
MPLADS-001614,0.0225,NORMAL,"{""procurement_anomaly_percentile"": 0.1739, ""financial__sanctioned_amount"": 0.1056, ""geospatial_anomaly_score"": 0.0385}",2026-09-06T09:45:06.494738+00:00
MPLADS-001615,0.0314,NORMAL,"{""geo__population_density"": 0.323, ""financial__sanctioned_amount"": 0.1378, ""geospatial_anomaly_score"": 0.0649}",2026-09-06T09:45:06.494738+00:00
MPLADS-001616,0.011,NORMAL,"{""payment_anomaly_percentile"": 0.0382, ""project__planned_duration_days"": 0.0222, ""payment_anomaly_score"": 0.0092}",2026-09-06T09:45:06.494738+00:00
MPLADS-001617,0.0308,NORMAL,"{""financial__sanctioned_amount"": 0.2477, ""payment_anomaly_score"": 0.2029, ""geospatial_anomaly_score"": 0.0858}",2026-09-06T09:45:06.494738+00:00
MPLADS-001618,1.0,DOCUMENTATION_DEFICIT,"{""progress_anomaly_score"": 5.3369, ""progress_anomaly_percentile"": 0.9383, ""payment_anomaly_score"": 0.0976}",2026-09-06T09:45:06.494738+00:00
MPLADS-001619,0.0314,NORMAL,"{""financial__sanctioned_amount"": 0.3482, ""geo__population_density"": 0.1344, ""procurement_anomaly_percentile"": 0.1175}",2026-09-06T09:45:06.494738+00:00
MPLADS-001620,0.1824,NORMAL,"{""procurement_anomaly_score"": 1.633, ""procurement_anomaly_percentile"": 0.7014, ""max_anomaly_score"": 0.1816}",2026-09-06T09:45:06.494738+00:00
MPLADS-001621,0.0182,NORMAL,"{""payment_anomaly_percentile"": 0.0522, ""project__planned_duration_days"": 0.0415, ""financial_anomaly_percentile"": 0.0208}",2026-09-06T09:45:06.494738+00:00
MPLADS-001622,0.0225,NORMAL,"{""geospatial_anomaly_score"": 0.0649, ""geo__population_density"": 0.0551, ""financial__sanctioned_amount"": 0.0452}",2026-09-06T09:45:06.494738+00:00
MPLADS-001623,1.0,ABANDONED_WORK,"{""progress_anomaly_score"": 5.1822, ""progress_anomaly_percentile"": 0.8982, ""financial_anomaly_score"": 0.142}",2026-09-06T09:45:06.494738+00:00
MPLADS-001624,0.0265,NORMAL,"{""project__planned_duration_days"": 0.0379, ""geospatial_anomaly_score"": 0.0365, ""std_anomaly_score"": 0.0103}",2026-09-06T09:45:06.494738+00:00
MPLADS-001625,0.0314,NORMAL,"{""geo__population_density"": 0.2124, ""procurement_anomaly_percentile"": 0.0999, ""geo__infrastructure_gap_index"": 0.0943}",2026-09-06T09:45:06.494738+00:00
