project_id,financial_anomaly_score,financial_anomaly_percentile,financial_anomaly_flag,primary_reason,secondary_reason,tertiary_reason,peer_cost_deviation_pct,peer_unit_cost_zscore,model_version,mode,scored_at
MPLADS-001277,46.26,85.64,False,Financial metrics aligned with peer expectations,Normal peer disbursement pattern,Standard schedule compliance,21.54,-0.42,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001278,10.59,36.68,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-25.46,-0.93,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001279,16.22,51.02,False,Financial metrics aligned with peer expectations,Normal peer disbursement pattern,Standard schedule compliance,-11.4,-0.83,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001280,27.44,69.56,False,High unverified disbursement rate (100.0% unverified payments),Normal peer disbursement pattern,Standard schedule compliance,-18.12,0.42,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001281,35.68,77.16,False,High unverified disbursement rate (100.0% unverified payments),Normal peer disbursement pattern,Standard schedule compliance,-28.02,-0.79,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001282,1.4,3.36,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-7.53,-0.45,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001283,4.49,14.26,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-25.53,0.0,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001284,66.62,94.34,False,Elevated peer-adjusted cost (+245.6% vs peer median for work type),Accelerated disbursement velocity (3.4x peer median disbursement speed),Atypical cost per unit (+107.1% vs peer median rate),245.58,1.7,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001285,29.28,71.2,False,High unverified disbursement rate (100.0% unverified payments),Atypical cost per unit (+73.3% vs peer median rate),Standard schedule compliance,-15.01,1.18,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001286,3.85,11.66,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-9.51,-0.66,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001287,13.89,45.26,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-0.34,-0.39,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001288,22.58,63.32,False,High unverified disbursement rate (100.0% unverified payments),Normal peer disbursement pattern,Standard schedule compliance,-14.63,-0.49,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001289,6.13,21.16,False,Atypical cost per unit (+35.3% vs peer median rate),Consistent contract execution,No significant deviation from SOR rates,-1.35,0.54,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001290,12.67,42.32,False,Atypical cost per unit (+61.3% vs peer median rate),Consistent contract execution,No significant deviation from SOR rates,-27.21,0.94,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001291,1.64,4.22,False,Atypical cost per unit (+73.9% vs peer median rate),Consistent contract execution,No significant deviation from SOR rates,-8.83,1.25,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001292,10.01,34.84,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-23.52,-0.86,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001293,39.02,80.12,False,Atypical cost per unit (+90.9% vs peer median rate),Normal peer disbursement pattern,Standard schedule compliance,15.6,1.3,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001294,1.06,2.58,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,0.65,0.38,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001295,10.67,36.84,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-7.02,-0.81,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001296,22.12,62.46,False,Financial metrics aligned with peer expectations,Normal peer disbursement pattern,Standard schedule compliance,-26.95,-0.3,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001297,5.86,20.08,False,Atypical cost per unit (+265.2% vs peer median rate),Consistent contract execution,No significant deviation from SOR rates,-1.87,3.74,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001298,6.34,22.24,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,0.22,-0.46,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001299,13.39,44.0,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-14.3,0.47,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001300,12.3,41.14,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-2.66,-0.25,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001301,18.11,55.48,False,Financial metrics aligned with peer expectations,Normal peer disbursement pattern,Standard schedule compliance,22.47,-0.07,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001302,6.08,20.96,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-8.07,-0.64,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001303,13.7,44.72,False,Atypical cost per unit (+49.3% vs peer median rate),Consistent contract execution,No significant deviation from SOR rates,-12.98,0.86,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001304,24.92,66.74,False,High unverified disbursement rate (100.0% unverified payments),Normal peer disbursement pattern,Standard schedule compliance,2.54,0.31,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001305,35.85,77.42,False,Financial metrics aligned with peer expectations,Normal peer disbursement pattern,Standard schedule compliance,-21.1,-0.74,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001306,53.57,89.6,False,High unverified disbursement rate (100.0% unverified payments),Atypical cost per unit (+235.5% vs peer median rate),Standard schedule compliance,-8.01,3.01,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001307,3.48,10.36,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,28.52,0.35,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001308,16.24,51.1,False,Atypical cost per unit (+1103.1% vs peer median rate),Normal peer disbursement pattern,Standard schedule compliance,-30.49,15.43,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001309,17.5,54.12,False,Atypical cost per unit (+152.7% vs peer median rate),Normal peer disbursement pattern,Standard schedule compliance,12.04,2.65,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001310,16.81,52.44,False,High unverified disbursement rate (100.0% unverified payments),Normal peer disbursement pattern,Standard schedule compliance,-9.04,-0.41,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001311,66.78,94.4,False,Atypical cost per unit (+1584.6% vs peer median rate),Contract escalation (5.7% value change with 0 amendments),Standard schedule compliance,-24.74,22.69,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001312,7.85,28.08,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-33.9,0.0,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001313,8.56,30.52,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,0.93,-0.31,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001314,60.1,92.6,False,Elevated peer-adjusted cost (+285.3% vs peer median for work type),Accelerated disbursement velocity (4.0x peer median disbursement speed),Atypical cost per unit (+414.4% vs peer median rate),285.34,5.64,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001315,16.45,51.58,False,Financial metrics aligned with peer expectations,Normal peer disbursement pattern,Standard schedule compliance,27.72,-0.47,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001316,95.71,98.6,True,Elevated peer-adjusted cost (+393.6% vs peer median for work type),Accelerated disbursement velocity (5.1x peer median disbursement speed),Atypical cost per unit (+228.3% vs peer median rate),393.62,3.19,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001317,36.05,77.56,False,Financial metrics aligned with peer expectations,Normal peer disbursement pattern,Standard schedule compliance,-13.9,-0.2,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001318,6.36,22.38,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,22.24,-0.09,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001319,7.04,24.82,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,18.74,0.04,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001320,1.93,5.08,False,Atypical cost per unit (+42.8% vs peer median rate),Consistent contract execution,No significant deviation from SOR rates,-11.85,0.61,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001321,8.61,30.68,False,Atypical cost per unit (+37.2% vs peer median rate),Consistent contract execution,No significant deviation from SOR rates,-25.34,0.49,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001322,26.0,68.02,False,High unverified disbursement rate (100.0% unverified payments),Atypical cost per unit (+100.4% vs peer median rate),Elevated peer-adjusted cost (+30.0% vs peer median for work type),30.02,1.43,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001323,22.75,63.6,False,Atypical cost per unit (+73.5% vs peer median rate),Normal peer disbursement pattern,Standard schedule compliance,-32.7,1.13,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001324,31.22,73.22,False,Financial metrics aligned with peer expectations,Normal peer disbursement pattern,Standard schedule compliance,-12.64,-0.52,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001325,9.89,34.42,False,Atypical cost per unit (+59.4% vs peer median rate),Consistent contract execution,No significant deviation from SOR rates,20.26,0.73,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001326,31.88,73.76,False,High unverified disbursement rate (100.0% unverified payments),Normal peer disbursement pattern,Standard schedule compliance,-29.6,-0.11,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001327,32.07,73.92,False,High unverified disbursement rate (100.0% unverified payments),Normal peer disbursement pattern,Standard schedule compliance,9.43,-0.06,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001328,3.26,9.42,False,Atypical cost per unit (+103.6% vs peer median rate),Consistent contract execution,No significant deviation from SOR rates,-18.81,1.5,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001329,54.83,90.28,False,Atypical cost per unit (+164.2% vs peer median rate),Normal peer disbursement pattern,Standard schedule compliance,21.57,2.35,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001330,52.65,89.14,False,Elevated peer-adjusted cost (+295.3% vs peer median for work type),Accelerated disbursement velocity (4.1x peer median disbursement speed),Atypical cost per unit (+447.6% vs peer median rate),295.33,7.77,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001331,36.96,78.64,False,Financial metrics aligned with peer expectations,Normal peer disbursement pattern,Standard schedule compliance,-12.97,-0.57,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001332,3.98,12.18,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-16.72,-0.81,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001333,14.19,46.12,False,Atypical cost per unit (+50.7% vs peer median rate),Consistent contract execution,No significant deviation from SOR rates,13.29,0.76,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001334,1.92,5.06,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,24.96,-0.55,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001335,15.76,49.9,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,7.11,-0.38,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001336,8.67,30.86,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,10.27,-0.54,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001337,1.46,3.68,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-15.66,-0.79,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001338,51.93,88.66,False,Atypical cost per unit (+750.7% vs peer median rate),Contract escalation (37.6% value change with 0 amendments),Irregular payment intervals (33.3% timing anomaly rate),-31.04,9.17,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001339,22.46,63.08,False,Financial metrics aligned with peer expectations,Normal peer disbursement pattern,Standard schedule compliance,23.69,0.56,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001340,9.02,31.8,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,23.2,0.46,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001341,7.91,28.4,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-24.29,-0.97,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001342,8.95,31.6,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-25.62,-0.4,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001343,18.06,55.38,False,Atypical cost per unit (+56.8% vs peer median rate),Normal peer disbursement pattern,Standard schedule compliance,23.65,0.84,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001344,11.1,37.78,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-27.18,-0.84,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001345,1.65,4.24,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-23.22,-0.79,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001346,24.83,66.56,False,High unverified disbursement rate (100.0% unverified payments),Normal peer disbursement pattern,Standard schedule compliance,-30.05,0.48,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001347,34.73,76.04,False,Financial metrics aligned with peer expectations,Normal peer disbursement pattern,Standard schedule compliance,-28.77,-0.85,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001348,10.32,35.68,False,Atypical cost per unit (+360.3% vs peer median rate),Consistent contract execution,No significant deviation from SOR rates,23.66,5.39,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001349,39.45,80.44,False,Financial metrics aligned with peer expectations,Normal peer disbursement pattern,Standard schedule compliance,6.76,-0.47,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001350,1.86,4.9,False,Atypical cost per unit (+58.8% vs peer median rate),Consistent contract execution,No significant deviation from SOR rates,-25.57,0.79,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001351,4.19,13.0,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-4.3,-0.31,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001352,60.42,92.66,False,Contract escalation (-1.7% value change with 4 amendments),Normal peer disbursement pattern,Standard schedule compliance,-34.39,-1.04,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001353,8.73,31.1,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-10.83,-0.81,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001354,15.28,48.9,False,Atypical cost per unit (+113.5% vs peer median rate),Consistent contract execution,No significant deviation from SOR rates,21.16,1.83,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001355,100.0,99.51,True,Elevated peer-adjusted cost (+360.2% vs peer median for work type),Accelerated disbursement velocity (4.7x peer median disbursement speed),Atypical cost per unit (+301.3% vs peer median rate),360.18,3.85,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001356,5.69,19.24,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,0.0,-0.75,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001357,9.2,32.34,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-31.76,-0.99,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001358,13.82,45.1,False,Atypical cost per unit (+42.1% vs peer median rate),Consistent contract execution,No significant deviation from SOR rates,-17.72,0.68,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001359,8.53,30.44,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-10.8,-0.84,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001360,25.73,67.72,False,Financial metrics aligned with peer expectations,Normal peer disbursement pattern,Standard schedule compliance,-34.18,-0.69,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001361,7.78,27.78,False,Atypical cost per unit (+138.3% vs peer median rate),Consistent contract execution,No significant deviation from SOR rates,-24.75,1.77,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001362,23.66,65.02,False,Atypical cost per unit (+164.9% vs peer median rate),Irregular payment intervals (33.3% timing anomaly rate),Standard schedule compliance,20.66,2.2,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001363,31.05,73.1,False,Accelerated disbursement velocity (2.0x peer median disbursement speed),Elevated peer-adjusted cost (+30.9% vs peer median for work type),Contract escalation (37.5% value change with 0 amendments),30.87,0.33,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001364,26.98,69.08,False,Abrupt contract value contraction (-31.1% reduction from original work order),Normal peer disbursement pattern,Standard schedule compliance,-5.35,-0.43,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001365,23.24,64.48,False,Atypical cost per unit (+157.2% vs peer median rate),Normal peer disbursement pattern,Standard schedule compliance,10.12,2.2,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001366,9.21,32.4,False,Atypical cost per unit (+39.3% vs peer median rate),Consistent contract execution,No significant deviation from SOR rates,20.27,0.56,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001367,5.28,17.7,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-9.8,-0.64,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001368,12.99,42.96,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,21.6,-0.06,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001369,9.73,33.94,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,20.34,-0.67,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001370,24.71,66.48,False,Financial metrics aligned with peer expectations,Normal peer disbursement pattern,Standard schedule compliance,-20.45,-0.12,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001371,13.24,43.64,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,21.58,-0.53,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001372,40.92,81.78,False,Contract escalation (61.5% value change with 0 amendments),Normal peer disbursement pattern,Standard schedule compliance,-8.58,0.53,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001373,11.52,38.98,False,Atypical cost per unit (+51.0% vs peer median rate),Consistent contract execution,No significant deviation from SOR rates,-6.21,0.79,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001374,47.49,86.42,False,Atypical cost per unit (+68.5% vs peer median rate),Normal peer disbursement pattern,Standard schedule compliance,22.31,0.89,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001375,10.37,35.82,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,7.94,-0.71,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001376,23.46,64.7,False,High unverified disbursement rate (100.0% unverified payments),Elevated peer-adjusted cost (+32.7% vs peer median for work type),Standard schedule compliance,32.69,-0.32,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001377,3.63,10.86,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-23.7,-0.81,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001378,40.51,81.34,False,Elevated peer-adjusted cost (+32.9% vs peer median for work type),Atypical cost per unit (+80.4% vs peer median rate),Irregular payment intervals (33.3% timing anomaly rate),32.94,1.24,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001379,12.9,42.72,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,12.56,0.02,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001380,16.79,52.38,False,Financial metrics aligned with peer expectations,Normal peer disbursement pattern,Standard schedule compliance,-14.07,-0.1,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001381,8.33,29.9,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-28.13,-0.92,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001382,10.07,35.04,False,Atypical cost per unit (+69.3% vs peer median rate),Consistent contract execution,No significant deviation from SOR rates,14.8,0.85,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001383,53.12,89.38,False,Accelerated disbursement velocity (1.8x peer median disbursement speed),Contract escalation (49.0% value change with 0 amendments),Standard schedule compliance,19.78,-0.09,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001384,6.45,22.76,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,11.61,0.08,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001385,46.91,86.08,False,Atypical cost per unit (+430.8% vs peer median rate),High unverified disbursement rate (100.0% unverified payments),Irregular payment intervals (33.3% timing anomaly rate),19.76,6.15,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001386,19.8,58.82,False,Atypical cost per unit (+47.1% vs peer median rate),Normal peer disbursement pattern,Standard schedule compliance,-13.66,0.7,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001387,15.26,48.88,False,Irregular payment intervals (33.3% timing anomaly rate),Consistent contract execution,No significant deviation from SOR rates,14.01,-0.44,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001388,59.83,92.52,False,Atypical cost per unit (+213.0% vs peer median rate),Accelerated disbursement velocity (1.8x peer median disbursement speed),Contract escalation (65.5% value change with 0 amendments),8.08,3.23,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001389,2.43,6.64,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,21.75,-0.14,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001390,16.69,52.0,False,Financial metrics aligned with peer expectations,Normal peer disbursement pattern,Standard schedule compliance,-12.91,-0.83,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001391,42.06,82.58,False,Atypical cost per unit (+47.9% vs peer median rate),Normal peer disbursement pattern,Standard schedule compliance,-12.81,0.61,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001392,19.87,58.96,False,Financial metrics aligned with peer expectations,Normal peer disbursement pattern,Standard schedule compliance,-18.69,-0.7,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001393,98.79,98.9,True,Atypical cost per unit (+503.3% vs peer median rate),Accelerated disbursement velocity (1.8x peer median disbursement speed),Contract escalation (50.5% value change with 0 amendments),9.81,7.21,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001394,35.26,76.64,False,Financial metrics aligned with peer expectations,Normal peer disbursement pattern,Standard schedule compliance,-0.36,-0.27,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001395,24.05,65.64,False,High unverified disbursement rate (100.0% unverified payments),Normal peer disbursement pattern,Standard schedule compliance,-8.24,-0.45,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001396,56.88,91.26,False,Atypical cost per unit (+510.4% vs peer median rate),Contract escalation (-3.6% value change with 4 amendments),Standard schedule compliance,-34.74,7.6,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001397,20.06,59.3,False,Irregular payment intervals (33.3% timing anomaly rate),Normal peer disbursement pattern,Standard schedule compliance,3.04,-0.29,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001398,52.66,89.16,False,Atypical cost per unit (+1309.0% vs peer median rate),Normal peer disbursement pattern,Standard schedule compliance,-22.42,17.02,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001399,5.73,19.54,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-7.04,-0.61,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001400,20.16,59.46,False,High unverified disbursement rate (100.0% unverified payments),Normal peer disbursement pattern,Standard schedule compliance,-7.05,-0.21,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001401,82.68,97.62,True,Atypical cost per unit (+2566.3% vs peer median rate),Elevated peer-adjusted cost (+353.8% vs peer median for work type),Accelerated disbursement velocity (4.5x peer median disbursement speed),353.78,38.37,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001402,7.16,25.2,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,27.93,-0.24,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001403,41.23,82.2,False,Contract escalation (-12.0% value change with 2 amendments),Normal peer disbursement pattern,Standard schedule compliance,-13.2,-0.56,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001404,29.75,71.84,False,Disproportionate round-sum disbursements (100.0% round-number rate),Normal peer disbursement pattern,Standard schedule compliance,9.8,-0.42,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001405,8.1,29.04,False,Atypical cost per unit (+241.7% vs peer median rate),Consistent contract execution,No significant deviation from SOR rates,1.22,3.73,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001406,18.11,55.46,False,Financial metrics aligned with peer expectations,Normal peer disbursement pattern,Standard schedule compliance,-30.72,-0.9,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001407,48.93,87.12,False,High unverified disbursement rate (100.0% unverified payments),Irregular payment intervals (50.0% timing anomaly rate),Standard schedule compliance,-21.52,0.44,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001408,46.75,86.0,False,Irregular payment intervals (33.3% timing anomaly rate),Normal peer disbursement pattern,Standard schedule compliance,0.78,-0.5,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-001409,4.37,13.76,False,Atypical cost per unit (+143.6% vs peer median rate),Consistent contract execution,No significant deviation from SOR rates,25.58,2.21,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
