WORK_ID,MP_NAME,WORK,CATEGORY,STATE,CONSTITUENCY,IDA,CITY,WARD,BLOCK,VILLAGE,RECOMMENDED_DATE,ALLOCATION_AMOUNT,IDA_APPROVAL,STATUS,HOUSE,is_fraud,fraud_type
12fc82c6,MP 0084,NA - construction of public toilet complex,Normal/Others,Karnataka,Karnataka Constituency 84,IDA 0179,,Ward 14,,,2023-07-21,531058,Approved by IDA,Sanctioned,Lok Sabha,0,
b9db21f9,MP 0106,NA - construction of public toilet complex,Normal/Others,Delhi,Delhi Constituency 106,IDA 0135,,,Block 7,,2024-02-14,852000,Action Pending,Ongoing,Rajya Sabha,0,
bc374b60,MP 0132,NA - construction of community hall,Normal/Others,Odisha,Odisha Constituency 132,IDA 0006,,,Block 4,Village 36,2023-11-25,1926325,Action Pending,Sanctioned,Rajya Sabha,0,
8b4684de,MP 0017,NA - installation of RO water purification unit,Normal/Others,Uttarakhand,Uttarakhand Constituency 17,IDA 0207,,,Block 10,,2023-05-23,131124,Action Pending,Unsanctioned,Lok Sabha,0,
ca6caca0,MP 0178,NA - construction of cremation ground shed,Normal/Others,Jharkhand,Jharkhand Constituency 178,IDA 0056,,,,,2023-10-11,327860,Action Pending,Completed,Lok Sabha,0,
e56269db,MP 0068,NA - installation of solar street lights,Normal/Others,Telangana,Telangana Constituency 68,IDA 0304,,Ward 13,Block 4,,2023-06-27,212571,Action Pending,Unsanctioned,Lok Sabha,1,vendor_capture
1f1778b8,MP 0103,NA – installation of RO water purification unit (Phase 2),Normal/Others,Gujarat,Gujarat Constituency 103,IDA 0393,,Ward 11,Block 4,Village 43,2023-05-13,336757,Action Pending,Unsanctioned,Lok Sabha,1,duplicate
642cfdc2,MP 0191,NA - construction of community hall,Normal/Others,Bihar,Bihar Constituency 191,IDA 0349,,,Block 1,,2023-09-18,3682183,Action Pending,Unsanctioned,Lok Sabha,0,
18a1e68a,MP 0120,NA - construction of boundary wall for school,Normal/Others,Bihar,Bihar Constituency 120,IDA 0289,,Ward 11,,,2023-06-21,377145,Action Pending,Unsanctioned,Lok Sabha,1,vendor_capture
a168c2b3,MP 0240,NA - installation of hand pumps and borewells,Normal/Others,Jharkhand,Jharkhand Constituency 240,IDA 0268,,Ward 29,Block 3,Village 29,2023-04-03,162278,Action Pending,Unsanctioned,Lok Sabha,0,
9886c9dd,MP 0036,NA - construction of cremation ground shed,Normal/Others,Bihar,Bihar Constituency 36,IDA 0063,,,Block 5,Village 51,2023-12-28,284817,Approved by IDA,Ongoing,Lok Sabha,0,
82883bf0,MP 0083,NA - construction of community hall,Normal/Others,Maharashtra,Maharashtra Constituency 83,IDA 0161,,,,,2024-01-02,3944617,Action Pending,Unsanctioned,Lok Sabha,1,vendor_capture
120f3592,MP 0191,NA - installation of street lights,Normal/Others,Bihar,Bihar Constituency 191,IDA 0242,,,,,2023-09-27,185904,Action Pending,Sanctioned,Lok Sabha,0,
7fec2211,MP 0250,NA - installation of hand pumps and borewells,Normal/Others,Haryana,Haryana Constituency 250,IDA 0007,,,Block 5,,2023-10-19,136011,Approved by IDA,Completed,Lok Sabha,0,
1c73bfe0,MP 0052,NA - repair of drinking water supply pipeline,Normal/Others,Telangana,Telangana Constituency 52,IDA 0008,,,,Village 53,2023-08-31,968132,Action Pending,Sanctioned,Lok Sabha,0,
13011103,MP 0195,NA - renovation of government school building,Normal/Others,Haryana,Haryana Constituency 195,IDA 0149,,,,,2023-05-08,1606750,Approved by IDA,Sanctioned,Lok Sabha,1,ghost_project
d7de5192,MP 0202,NA - installation of street lights,Normal/Others,Karnataka,Karnataka Constituency 202,IDA 0008,,Ward 4,Block 9,,2023-07-23,266350,Action Pending,Completed,Rajya Sabha,0,
26211bd4,MP 0111,NA - construction of cremation ground shed,Normal/Others,Chhattisgarh,Chhattisgarh Constituency 111,IDA 0297,,Ward 22,Block 6,Village 53,2023-06-12,225949,Action Pending,Unsanctioned,Lok Sabha,0,
8b6a21f5,MP 0073,NA - installation of RO water purification unit,Normal/Others,Tamil Nadu,Tamil Nadu Constituency 73,IDA 0107,,Ward 2,Block 5,,2023-04-03,168701,Approved by IDA,Completed,Rajya Sabha,0,
889417a9,MP 0248,NA - construction of community hall,Normal/Others,West Bengal,West Bengal Constituency 248,IDA 0369,,Ward 28,,Village 80,2023-05-10,2684521,Rejected by IDA,Sanctioned,Rajya Sabha,0,
8be39b66,MP 0176,NA - construction of community hall,Normal/Others,Chhattisgarh,Chhattisgarh Constituency 176,IDA 0183,,,Block 11,Village 4,2024-01-14,17836735,Action Pending,Sanctioned,Lok Sabha,1,overpricing
b673a6cf,MP 0299,NA - construction of public toilet complex,Normal/Others,Delhi,Delhi Constituency 299,IDA 0331,,,Block 9,,2024-03-15,500799,Approved by IDA,Unsanctioned,Lok Sabha,0,
671edb89,MP 0073,NA - construction of drainage system,Normal/Others,Tamil Nadu,Tamil Nadu Constituency 73,IDA 0067,,,,,2024-03-16,862841,Approved by IDA,Sanctioned,Lok Sabha,0,
29c151ed,MP 0236,NA - installation of hand pumps and borewells,Normal/Others,Rajasthan,Rajasthan Constituency 236,IDA 0233,,,Block 2,Village 23,2023-04-21,119819,Approved by IDA,Ongoing,Lok Sabha,1,ghost_project
5a512556,MP 0100,NA - construction of community hall,Normal/Others,Karnataka,Karnataka Constituency 100,IDA 0082,,,Block 8,,2024-03-12,3304146,Action Pending,Sanctioned,Rajya Sabha,1,duplicate
2e9d9e51,MP 0171,NA - installation of CCTV surveillance system,Normal/Others,Madhya Pradesh,Madhya Pradesh Constituency 171,IDA 0219,,,Block 8,,2024-01-19,187795,Action Pending,Unsanctioned,Lok Sabha,0,
e2121545,MP 0146,NA - repair of drinking water supply pipeline,Normal/Others,Uttarakhand,Uttarakhand Constituency 146,IDA 0076,,Ward 6,,,2023-04-14,329389,Action Pending,Unsanctioned,Lok Sabha,0,
5323931d,MP 0049,NA - construction of drainage system,Normal/Others,Haryana,Haryana Constituency 49,IDA 0168,,Ward 3,,,2023-06-01,1094734,Approved by IDA,Ongoing,Lok Sabha,0,
7c8f3523,MP 0016,NA - repair of drinking water supply pipeline,Normal/Others,Chhattisgarh,Chhattisgarh Constituency 16,IDA 0117,,Ward 25,,,2024-01-13,3786514,Action Pending,Unsanctioned,Lok Sabha,1,overpricing
bde6a7d0,MP 0215,NA - construction of community hall,Normal/Others,Delhi,Delhi Constituency 215,IDA 0094,,Ward 10,Block 9,Village 86,2023-11-18,2053094,Approved by IDA,Ongoing,Lok Sabha,0,
e000a3db,MP 0294,NA - construction of boundary wall for school,Normal/Others,Karnataka,Karnataka Constituency 294,IDA 0179,,Ward 4,Block 14,Village 7,2023-05-18,473129,Approved by IDA,Completed,Rajya Sabha,0,
8b8da7af,MP 0092,NA - construction of boundary wall for school,Normal/Others,Odisha,Odisha Constituency 92,IDA 0237,,,,Village 52,2023-11-07,608170,Approved by IDA,Unsanctioned,Rajya Sabha,0,
ef199f2f,MP 0220,NA - repair and renovation of anganwadi center,Normal/Others,Rajasthan,Rajasthan Constituency 220,IDA 0300,,Ward 4,Block 3,,2024-03-07,2395571,Action Pending,Unsanctioned,Rajya Sabha,1,overpricing
40ef10fb,MP 0193,NA - installation of hand pumps and borewells,Normal/Others,Uttar Pradesh,Uttar Pradesh Constituency 193,IDA 0388,,,,,2024-01-15,171824,Approved by IDA,Completed,Lok Sabha,0,
7457f099,MP 0288,NA - construction of cremation ground shed,Normal/Others,Chhattisgarh,Chhattisgarh Constituency 288,IDA 0270,,,Block 10,,2023-04-22,525754,Action Pending,Unsanctioned,Rajya Sabha,0,
f7c1f9ad,MP 0148,NA - installation of solar street lights,Normal/Others,Madhya Pradesh,Madhya Pradesh Constituency 148,IDA 0013,,,Block 1,,2024-03-20,342367,Action Pending,Unsanctioned,Lok Sabha,0,
0d807a91,MP 0126,NA - installation of hand pumps and borewells,Normal/Others,Gujarat,Gujarat Constituency 126,IDA 0213,,,,Village 39,2023-07-09,136778,Action Pending,Unsanctioned,Lok Sabha,0,
827b4099,MP 0172,NA - repair and renovation of anganwadi center,Normal/Others,Punjab,Punjab Constituency 172,IDA 0219,,,,Village 38,2023-06-07,466740,Action Pending,Unsanctioned,Lok Sabha,0,
e27cf041,MP 0281,NA - construction of community hall,Normal/Others,Maharashtra,Maharashtra Constituency 281,IDA 0144,,,,Village 100,2023-11-23,3127429,Rejected by IDA,Completed,Lok Sabha,0,
e865b942,MP 0218,NA - development of public park,Normal/Others,Punjab,Punjab Constituency 218,IDA 0187,,Ward 28,,Village 34,2024-01-27,1360917,Approved by IDA,Unsanctioned,Lok Sabha,0,
564d4888,MP 0281,NA - installation of solar street lights,Normal/Others,Maharashtra,Maharashtra Constituency 281,IDA 0357,,Ward 22,,,2023-09-16,437736,Approved by IDA,Unsanctioned,Lok Sabha,0,
c0c17de5,MP 0141,NA - installation of hand pumps and borewells,Normal/Others,Tamil Nadu,Tamil Nadu Constituency 141,IDA 0046,,Ward 28,Block 5,,2023-04-17,156288,Action Pending,Sanctioned,Lok Sabha,0,
081f154b,MP 0090,NA - development of public park,Normal/Others,Rajasthan,Rajasthan Constituency 90,IDA 0055,,,Block 13,,2023-11-01,1280254,Approved by IDA,Unsanctioned,Lok Sabha,0,
640b79e9,MP 0011,NA - installation of solar street lights,Normal/Others,Maharashtra,Maharashtra Constituency 11,IDA 0247,,,,,2023-04-27,324011,Approved by IDA,Unsanctioned,Rajya Sabha,0,
3a5e62b2,MP 0261,NA - installation of CCTV surveillance system,Normal/Others,Tamil Nadu,Tamil Nadu Constituency 261,IDA 0312,,,Block 15,Village 64,2024-01-19,959821,Action Pending,Completed,Rajya Sabha,1,structuring
a3a1c74a,MP 0246,NA - construction of public toilet complex,Normal/Others,Assam,Assam Constituency 246,IDA 0176,,,Block 4,,2023-08-13,521115,Approved by IDA,Unsanctioned,Lok Sabha,0,
aec6d11c,MP 0088,NA - construction of drainage system,Normal/Others,Gujarat,Gujarat Constituency 88,IDA 0123,,Ward 26,Block 4,Village 67,2023-06-19,1121727,Action Pending,Unsanctioned,Rajya Sabha,1,duplicate
1af7d818,MP 0055,NA - installation of street lights,Normal/Others,Bihar,Bihar Constituency 55,IDA 0146,,Ward 9,Block 10,,2023-08-09,215692,Action Pending,Unsanctioned,Rajya Sabha,0,
3fe18d8e,MP 0297,NA - development of public park,Normal/Others,Delhi,Delhi Constituency 297,IDA 0377,,Ward 29,Block 3,Village 7,2023-12-17,885164,Action Pending,Ongoing,Rajya Sabha,0,
9168edc4,MP 0252,NA - construction of drainage system,Normal/Others,Bihar,Bihar Constituency 252,IDA 0259,,Ward 21,Block 9,,2023-06-27,405485,Approved by IDA,Unsanctioned,Lok Sabha,0,
804afbbe,MP 0067,NA - construction of drainage system,Normal/Others,Telangana,Telangana Constituency 67,IDA 0026,,,,,2023-08-11,1175917,Action Pending,Ongoing,Lok Sabha,0,
e4a2de6f,MP 0123,NA - installation of solar street lights,Normal/Others,Uttarakhand,Uttarakhand Constituency 123,IDA 0266,,Ward 10,Block 7,,2024-01-12,192801,Approved by IDA,Sanctioned,Rajya Sabha,0,
f92f6631,MP 0163,NA - construction of boundary wall for school,Normal/Others,Karnataka,Karnataka Constituency 163,IDA 0071,,,Block 7,,2023-04-19,714487,Approved by IDA,Sanctioned,Lok Sabha,0,
c5e91e9c,MP 0088,NA - installation of solar street lights,Normal/Others,Gujarat,Gujarat Constituency 88,IDA 0042,,Ward 3,,Village 34,2023-08-13,464287,Approved by IDA,Unsanctioned,Rajya Sabha,0,
2b84e155,MP 0265,NA - construction of cremation ground shed,Normal/Others,Gujarat,Gujarat Constituency 265,IDA 0061,,,Block 10,Village 77,2024-02-09,312661,Approved by IDA,Unsanctioned,Rajya Sabha,0,
e913981d,MP 0220,NA - development of public park,Normal/Others,Rajasthan,Rajasthan Constituency 220,IDA 0218,,Ward 20,,Village 25,2023-09-23,1828966,Action Pending,Unsanctioned,Lok Sabha,0,
d9f92cf6,MP 0142,NA - development of public park,Normal/Others,Chhattisgarh,Chhattisgarh Constituency 142,IDA 0188,,,,,2023-05-18,1055238,Action Pending,Unsanctioned,Lok Sabha,0,
1a21a979,MP 0134,NA - installation of hand pumps and borewells,Normal/Others,Andhra Pradesh,Andhra Pradesh Constituency 134,IDA 0278,,Ward 22,Block 1,,2023-07-04,83761,Action Pending,Sanctioned,Lok Sabha,0,
65f51030,MP 0166,NA - development of public park,Normal/Others,Bihar,Bihar Constituency 166,IDA 0001,,,Block 1,Village 6,2024-01-13,1938114,Approved by IDA,Unsanctioned,Lok Sabha,0,
f319e3ce,MP 0096,NA - development of public park,Normal/Others,Assam,Assam Constituency 96,IDA 0200,,Ward 18,Block 14,,2023-04-10,1165846,Approved by IDA,Ongoing,Lok Sabha,1,ghost_project
f30c6e9d,MP 0219,NA - installation of solar street lights,Normal/Others,Jharkhand,Jharkhand Constituency 219,IDA 0351,,,,,2023-09-08,445397,Approved by IDA,Completed,Lok Sabha,0,
b047c2fa,MP 0109,NA - construction of boundary wall for school,Normal/Others,Karnataka,Karnataka Constituency 109,IDA 0068,,Ward 20,Block 4,Village 32,2023-04-27,738070,Approved by IDA,Ongoing,Lok Sabha,1,ghost_project
fd7fa596,MP 0287,NA - installation of CCTV surveillance system,Normal/Others,Maharashtra,Maharashtra Constituency 287,IDA 0064,,,Block 5,,2024-01-01,1994895,Action Pending,Unsanctioned,Lok Sabha,1,overpricing
316de401,MP 0048,NA - repair of drinking water supply pipeline,Normal/Others,Bihar,Bihar Constituency 48,IDA 0106,,,Block 5,,2023-12-02,333037,Action Pending,Completed,Lok Sabha,0,
f0fdedda,MP 0120,NA - construction of public toilet complex,Normal/Others,Bihar,Bihar Constituency 120,IDA 0178,,Ward 28,Block 11,Village 29,2023-10-28,722938,Approved by IDA,Unsanctioned,Lok Sabha,0,
bc61e6ac,MP 0243,NA - construction of boundary wall for school,Normal/Others,Assam,Assam Constituency 243,IDA 0151,,,,,2023-10-03,361360,Approved by IDA,Unsanctioned,Lok Sabha,0,
bacb6a12,MP 0189,NA - construction of boundary wall for school,Normal/Others,Karnataka,Karnataka Constituency 189,IDA 0292,,Ward 24,,,2024-02-12,332823,Approved by IDA,Sanctioned,Rajya Sabha,0,
ba437c21,MP 0197,NA - repair of drinking water supply pipeline,Normal/Others,Delhi,Delhi Constituency 197,IDA 0157,,Ward 30,,,2023-07-12,691146,Action Pending,Unsanctioned,Lok Sabha,0,
06b431af,MP 0155,NA - construction of community hall,Normal/Others,Odisha,Odisha Constituency 155,IDA 0359,,,,,2023-08-15,1576208,Action Pending,Ongoing,Lok Sabha,0,
21210f78,MP 0143,NA - installation of solar street lights,Normal/Others,West Bengal,West Bengal Constituency 143,IDA 0324,,,,,2024-03-18,466169,Approved by IDA,Sanctioned,Lok Sabha,0,
9f38afc2,MP 0114,NA - installation of RO water purification unit,Normal/Others,Maharashtra,Maharashtra Constituency 114,IDA 0122,,,,,2023-11-09,315857,Approved by IDA,Unsanctioned,Lok Sabha,0,
0b40d64d,MP 0007,NA - installation of RO water purification unit,Normal/Others,Haryana,Haryana Constituency 7,IDA 0066,,,,,2023-09-05,221446,Action Pending,Unsanctioned,Rajya Sabha,0,
a06351e4,MP 0199,NA - development of public park,Normal/Others,Uttar Pradesh,Uttar Pradesh Constituency 199,IDA 0264,,,Block 11,,2024-03-24,1358184,Action Pending,Unsanctioned,Rajya Sabha,0,
6604c779,MP 0056,NA - construction of boundary wall for school,Normal/Others,Maharashtra,Maharashtra Constituency 56,IDA 0214,,,Block 13,,2023-09-23,670204,Action Pending,Unsanctioned,Rajya Sabha,1,vendor_capture
e1b39609,MP 0281,NA - construction of public toilet complex,Normal/Others,Maharashtra,Maharashtra Constituency 281,IDA 0031,,,,,2023-08-06,834003,Action Pending,Unsanctioned,Lok Sabha,0,
0d11fcd3,MP 0212,NA - repair of internal roads,Normal/Others,Haryana,Haryana Constituency 212,IDA 0229,,Ward 6,,,2023-07-09,2251398,Action Pending,Ongoing,Lok Sabha,0,
827032c6,MP 0063,NA - renovation of government school building,Normal/Others,Gujarat,Gujarat Constituency 63,IDA 0236,,Ward 21,,,2024-01-05,2482220,Action Pending,Unsanctioned,Lok Sabha,1,structuring
56cf5af8,MP 0198,NA - construction of drainage system,Normal/Others,Karnataka,Karnataka Constituency 198,IDA 0141,,,Block 5,,2024-02-03,1431543,Rejected by IDA,Unsanctioned,Lok Sabha,0,
bed396da,MP 0210,NA - installation of hand pumps and borewells,Normal/Others,Punjab,Punjab Constituency 210,IDA 0128,,Ward 23,Block 9,Village 100,2023-11-14,115447,Approved by IDA,Unsanctioned,Lok Sabha,0,
81c727a3,MP 0148,NA - construction of drainage system,Normal/Others,Madhya Pradesh,Madhya Pradesh Constituency 148,IDA 0053,,,Block 10,Village 8,2024-01-09,864903,Action Pending,Ongoing,Rajya Sabha,0,
feeed163,MP 0212,NA - construction of public toilet complex,Normal/Others,Haryana,Haryana Constituency 212,IDA 0196,,,,Village 67,2023-10-20,3826074,Action Pending,Completed,Lok Sabha,1,overpricing
e5341c37,MP 0260,NA - renovation of government school building,Normal/Others,Maharashtra,Maharashtra Constituency 260,IDA 0011,,,,,2023-04-06,1458256,Action Pending,Unsanctioned,Rajya Sabha,0,
570a0bd0,MP 0253,NA - construction of public toilet complex,Normal/Others,Karnataka,Karnataka Constituency 253,IDA 0033,,Ward 16,,,2023-11-15,313084,Approved by IDA,Unsanctioned,Lok Sabha,0,
1e8d2058,MP 0106,NA - repair and renovation of anganwadi center,Normal/Others,Delhi,Delhi Constituency 106,IDA 0391,,,Block 11,,2023-10-21,216235,Action Pending,Ongoing,Rajya Sabha,0,
389fc55b,MP 0073,NA – construction of drainage system (Phase 3),Normal/Others,Tamil Nadu,Tamil Nadu Constituency 73,IDA 0156,,,Block 2,,2023-12-28,1483911,Approved by IDA,Unsanctioned,Lok Sabha,1,duplicate
2c2fdfa6,MP 0230,NA - installation of RO water purification unit,Normal/Others,Maharashtra,Maharashtra Constituency 230,IDA 0057,,,,,2024-02-23,344114,Approved by IDA,Unsanctioned,Rajya Sabha,0,
1f6e6564,MP 0134,NA - installation of CCTV surveillance system,Normal/Others,Andhra Pradesh,Andhra Pradesh Constituency 134,IDA 0389,,,Block 2,,2023-08-27,2213355,Action Pending,Unsanctioned,Lok Sabha,1,overpricing
d94f42d6,MP 0077,NA - construction of public toilet complex,Normal/Others,Assam,Assam Constituency 77,IDA 0207,,,,,2023-12-10,600167,Action Pending,Sanctioned,Rajya Sabha,0,
6d5e0e72,MP 0211,NA - repair of drinking water supply pipeline,Normal/Others,Rajasthan,Rajasthan Constituency 211,IDA 0224,,Ward 6,,,2023-11-10,1042452,Action Pending,Unsanctioned,Lok Sabha,0,
1510d668,MP 0019,NA - installation of CCTV surveillance system,Normal/Others,Haryana,Haryana Constituency 19,IDA 0079,,Ward 24,,,2023-04-18,408019,Approved by IDA,Unsanctioned,Lok Sabha,0,
feb66d9a,MP 0054,NA - renovation of government school building,Normal/Others,Rajasthan,Rajasthan Constituency 54,IDA 0289,,,,Village 67,2024-03-11,988171,Action Pending,Completed,Lok Sabha,1,vendor_capture
453f454d,MP 0167,NA - repair of drinking water supply pipeline,Normal/Others,Punjab,Punjab Constituency 167,IDA 0204,,,,Village 21,2023-04-03,724424,Action Pending,Unsanctioned,Rajya Sabha,0,
93d093e7,MP 0101,NA - construction of cremation ground shed,Normal/Others,Haryana,Haryana Constituency 101,IDA 0245,,,,,2023-06-28,599060,Approved by IDA,Unsanctioned,Rajya Sabha,0,
dfd7f3c2,MP 0130,NA - installation of street lights,Normal/Others,Haryana,Haryana Constituency 130,IDA 0372,,,,Village 69,2023-11-27,1334321,Approved by IDA,Ongoing,Rajya Sabha,1,overpricing
43f89757,MP 0217,NA - installation of RO water purification unit,Normal/Others,Karnataka,Karnataka Constituency 217,IDA 0072,,,,,2023-05-24,961512,Rejected by IDA,Unsanctioned,Lok Sabha,1,overpricing
4b336d84,MP 0168,NA - installation of CCTV surveillance system,Normal/Others,Bihar,Bihar Constituency 168,IDA 0351,,,,Village 10,2023-05-10,511426,Rejected by IDA,Unsanctioned,Lok Sabha,0,
d104bba5,MP 0107,NA - construction of cremation ground shed,Normal/Others,Kerala,Kerala Constituency 107,IDA 0250,,Ward 6,Block 6,,2023-07-17,301419,Action Pending,Unsanctioned,Rajya Sabha,0,
2edac661,MP 0261,NA - construction of boundary wall for school,Normal/Others,Tamil Nadu,Tamil Nadu Constituency 261,IDA 0191,,Ward 22,Block 2,Village 36,2024-02-22,412657,Approved by IDA,Unsanctioned,Lok Sabha,0,
0c1b97b7,MP 0048,NA - construction of cremation ground shed,Normal/Others,Bihar,Bihar Constituency 48,IDA 0260,,,Block 11,Village 97,2024-03-20,534551,Action Pending,Unsanctioned,Lok Sabha,0,
33ea994c,MP 0181,NA - construction of cremation ground shed,Normal/Others,Rajasthan,Rajasthan Constituency 181,IDA 0369,,,Block 11,Village 31,2023-11-06,286533,Approved by IDA,Sanctioned,Lok Sabha,0,
52fdf039,MP 0077,NA - repair of internal roads,Normal/Others,Assam,Assam Constituency 77,IDA 0144,,,,Village 59,2024-02-14,2388084,Rejected by IDA,Completed,Lok Sabha,0,
e6e74c3c,MP 0017,NA - repair of drinking water supply pipeline,Normal/Others,Uttarakhand,Uttarakhand Constituency 17,IDA 0049,,,,Village 53,2023-11-23,433454,Approved by IDA,Unsanctioned,Lok Sabha,0,
4ccccb3d,MP 0252,NA - repair of internal roads,Normal/Others,Bihar,Bihar Constituency 252,IDA 0300,,,,,2024-01-07,2151947,Action Pending,Sanctioned,Lok Sabha,0,
abc63496,MP 0182,NA - installation of hand pumps and borewells,Normal/Others,Andhra Pradesh,Andhra Pradesh Constituency 182,IDA 0374,,,,,2024-01-24,184974,Action Pending,Completed,Lok Sabha,0,
bb006bcd,MP 0170,NA - construction of community hall,Normal/Others,Madhya Pradesh,Madhya Pradesh Constituency 170,IDA 0211,,Ward 4,Block 10,,2023-05-29,3841934,Approved by IDA,Unsanctioned,Lok Sabha,0,
98bc00e3,MP 0207,NA - construction of cremation ground shed,Normal/Others,Chhattisgarh,Chhattisgarh Constituency 207,IDA 0089,,Ward 5,,Village 87,2024-02-20,951308,Action Pending,Ongoing,Lok Sabha,1,structuring
63798756,MP 0210,NA - installation of solar street lights,Normal/Others,Punjab,Punjab Constituency 210,IDA 0164,,,Block 9,,2023-07-29,342830,Action Pending,Unsanctioned,Lok Sabha,0,
4f4e9471,MP 0155,NA - installation of solar street lights,Normal/Others,Odisha,Odisha Constituency 155,IDA 0200,,,Block 1,,2024-02-24,411352,Action Pending,Completed,Rajya Sabha,0,
baad58de,MP 0117,NA - repair of internal roads,Normal/Others,Tamil Nadu,Tamil Nadu Constituency 117,IDA 0126,,,Block 12,Village 74,2023-05-23,931876,Action Pending,Completed,Lok Sabha,0,
8f83c1b7,MP 0121,NA - construction of public toilet complex,Normal/Others,Kerala,Kerala Constituency 121,IDA 0260,,Ward 2,Block 9,,2023-12-04,789959,Action Pending,Sanctioned,Lok Sabha,0,
09099039,MP 0214,NA - repair and renovation of anganwadi center,Normal/Others,Delhi,Delhi Constituency 214,IDA 0375,,,,,2023-12-23,255237,Approved by IDA,Unsanctioned,Lok Sabha,0,
394b403e,MP 0033,NA - repair and renovation of anganwadi center,Normal/Others,Rajasthan,Rajasthan Constituency 33,IDA 0322,,Ward 20,Block 14,,2023-11-12,590042,Action Pending,Ongoing,Lok Sabha,0,
34fd41fd,MP 0035,NA - installation of street lights,Normal/Others,West Bengal,West Bengal Constituency 35,IDA 0351,,,Block 7,,2024-01-06,245384,Action Pending,Unsanctioned,Lok Sabha,0,
5eae8cd9,MP 0293,NA - installation of street lights,Normal/Others,Bihar,Bihar Constituency 293,IDA 0185,,Ward 25,,,2023-12-19,177254,Action Pending,Unsanctioned,Lok Sabha,0,
4b6ac396,MP 0269,NA - construction of community hall,Normal/Others,Haryana,Haryana Constituency 269,IDA 0333,,Ward 18,Block 4,,2023-11-03,1662133,Approved by IDA,Unsanctioned,Lok Sabha,0,
56853c32,MP 0216,NA - construction of community hall,Normal/Others,Punjab,Punjab Constituency 216,IDA 0217,,,Block 13,Village 90,2023-11-29,1605014,Action Pending,Unsanctioned,Lok Sabha,0,
915579a2,MP 0104,NA - installation of RO water purification unit,Normal/Others,Delhi,Delhi Constituency 104,IDA 0180,,Ward 11,Block 4,,2023-04-24,158670,Action Pending,Sanctioned,Lok Sabha,0,
b25f72af,MP 0125,NA - installation of street lights,Normal/Others,Chhattisgarh,Chhattisgarh Constituency 125,IDA 0156,,Ward 1,Block 9,,2023-06-09,299038,Approved by IDA,Unsanctioned,Lok Sabha,0,
9dff0203,MP 0195,NA - repair of drinking water supply pipeline,Normal/Others,Haryana,Haryana Constituency 195,IDA 0241,,,,,2023-05-25,874202,Approved by IDA,Unsanctioned,Rajya Sabha,0,
40b578c2,MP 0056,NA - construction of public toilet complex,Normal/Others,Maharashtra,Maharashtra Constituency 56,IDA 0118,,,Block 12,,2024-03-02,697633,Action Pending,Completed,Lok Sabha,0,
827c817d,MP 0236,NA - construction of community hall,Normal/Others,Rajasthan,Rajasthan Constituency 236,IDA 0214,,Ward 13,,,2023-05-03,3989370,Approved by IDA,Unsanctioned,Lok Sabha,1,vendor_capture
fcff0257,MP 0083,NA - installation of solar street lights,Normal/Others,Maharashtra,Maharashtra Constituency 83,IDA 0035,,,Block 10,Village 42,2024-02-01,457913,Approved by IDA,Unsanctioned,Lok Sabha,0,
b22e2b53,MP 0087,NA - repair of internal roads,Normal/Others,Kerala,Kerala Constituency 87,IDA 0149,,,Block 1,,2023-09-20,1028123,Action Pending,Sanctioned,Lok Sabha,0,
0c21b413,MP 0083,NA - construction of drainage system,Normal/Others,Maharashtra,Maharashtra Constituency 83,IDA 0351,,,Block 14,Village 26,2023-05-04,1404961,Approved by IDA,Ongoing,Lok Sabha,1,ghost_project
0ef87e0d,MP 0076,NA - installation of solar street lights,Normal/Others,Tamil Nadu,Tamil Nadu Constituency 76,IDA 0080,,Ward 1,Block 15,Village 9,2023-11-17,192404,Action Pending,Unsanctioned,Rajya Sabha,0,
47110fd2,MP 0163,NA - construction of public toilet complex,Normal/Others,Karnataka,Karnataka Constituency 163,IDA 0201,,,Block 9,,2023-08-31,680309,Action Pending,Unsanctioned,Rajya Sabha,0,
b24b7038,MP 0051,NA - installation of RO water purification unit,Normal/Others,Uttarakhand,Uttarakhand Constituency 51,IDA 0163,,Ward 26,,Village 19,2024-03-15,120046,Action Pending,Ongoing,Lok Sabha,0,
f8681b25,MP 0130,NA - construction of community hall,Normal/Others,Haryana,Haryana Constituency 130,IDA 0272,,,,,2024-02-20,2461527,Approved by IDA,Unsanctioned,Rajya Sabha,0,
28157429,MP 0134,NA - repair and renovation of anganwadi center,Normal/Others,Andhra Pradesh,Andhra Pradesh Constituency 134,IDA 0005,,,,Village 25,2023-05-23,680639,Action Pending,Unsanctioned,Lok Sabha,0,
32dda0d5,MP 0113,NA - repair of internal roads,Normal/Others,Bihar,Bihar Constituency 113,IDA 0323,,,Block 3,Village 14,2024-03-27,1930200,Action Pending,Sanctioned,Lok Sabha,0,
f841dd62,MP 0226,NA - installation of solar street lights,Normal/Others,Jharkhand,Jharkhand Constituency 226,IDA 0081,,Ward 19,Block 10,,2023-08-02,419122,Approved by IDA,Unsanctioned,Lok Sabha,0,
1aee19fd,MP 0064,NA - development of public park,Normal/Others,Assam,Assam Constituency 64,IDA 0246,,,,Village 22,2023-11-12,1208690,Approved by IDA,Unsanctioned,Lok Sabha,0,
408687e1,MP 0005,NA - renovation of government school building,Normal/Others,Madhya Pradesh,Madhya Pradesh Constituency 5,IDA 0088,,Ward 14,,Village 21,2023-12-14,1884787,Action Pending,Sanctioned,Lok Sabha,0,
